Titulo,Link,Descricao,Termo,Data
Divulgado o resultado preliminar do projeto Conexão Ciência Piauí - pi.gov.br,https://news.google.com/rss/articles/CBMikgFBVV95cUxNZVpLem5BTUVuN2JOWENVM3JrVEw4UV9Ock80NmluenR3by1ZdGtJZFRWZDluUVA2RVhNWmlzaGRYY1oyQ2JRVXI1Zk5GMzZaRWh1Z0VGOWktN3FBMFgwWTlobUdGMmFJVDNrOW1nS2M4R0xZVWc4VktNRDlQSXRqc2RVdm92eVFObGpiRVBnZWFtZw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxNZVpLem5BTUVuN2JOWENVM3JrVEw4UV9Ock80NmluenR3by1ZdGtJZFRWZDluUVA2RVhNWmlzaGRYY1oyQ2JRVXI1Zk5GMzZaRWh1Z0VGOWktN3FBMFgwWTlobUdGMmFJVDNrOW1nS2M4R0xZVWc4VktNRDlQSXRqc2RVdm92eVFObGpiRVBnZWFtZw?oc=5"" target=""_blank"">Divulgado o resultado preliminar do projeto Conexão Ciência Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,2025-04-22 07:00:00
SIA e Seduc lançam chamada pública para seleção de professores bolsistas no projeto Conexão Ciência Piauí - SEDUC-PI,https://news.google.com/rss/articles/CBMi7AFBVV95cUxQV1NETTFwSVRucmxmcS16cWpQQVR0aDA4Z0Nhd3pzUE50dk9GNXVTLXF6aEU2S01CTzl2V2FIZEpfQ0tBZEUtZ2NRb1BYRzNidVBJcm82OUE4QkdmdE1Cd2Ixc05OVEt5VkVEandoaTltY0tLRTdiNEtnMFA3aEdQTi1YX0ZDOERkVlJfYzNqR051RnhDX0t6R2x5Sm9GNDY2Rk1Qb0REZzZyQzl0b3BfUmQtM1J2bUN3aFZRSHFsSk1VVk9fcGk3TkZYRERWQkJjR3lMMG4ySmx2YVBfUmVkNXhKUkRfUmxiU3lQQw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxQV1NETTFwSVRucmxmcS16cWpQQVR0aDA4Z0Nhd3pzUE50dk9GNXVTLXF6aEU2S01CTzl2V2FIZEpfQ0tBZEUtZ2NRb1BYRzNidVBJcm82OUE4QkdmdE1Cd2Ixc05OVEt5VkVEandoaTltY0tLRTdiNEtnMFA3aEdQTi1YX0ZDOERkVlJfYzNqR051RnhDX0t6R2x5Sm9GNDY2Rk1Qb0REZzZyQzl0b3BfUmQtM1J2bUN3aFZRSHFsSk1VVk9fcGk3TkZYRERWQkJjR3lMMG4ySmx2YVBfUmVkNXhKUkRfUmxiU3lQQw?oc=5"" target=""_blank"">SIA e Seduc lançam chamada pública para seleção de professores bolsistas no projeto Conexão Ciência Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SEDUC-PI</font>",SIA Piauí,2025-04-08 12:31:45
"Secretaria leva tecnologia imersiva, realidade virtual e inteligência artificial à Brazil Energy Conference - pi.gov.br",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOam0zZTF4RTRhS3JLQWNKSi1iaDQ1N1BkdGgzUnQ0bXRteDBXUVhuTGQwZkNwRllpUVpUajhMZzl4UEdFb2pSYkVJRVpmSzd4T0MtUDgzUWJjZmQxWk1RalB3LVlTcDJqdTJLRC04Wlk4Um1KOUVIQWtkeHFZUEdXMl8wbVc3aXVSczRMUHJwMFlPR2VxajdFajJ5ZTVrUG9CNWh0T1IyWGRZblBsTGRUZzNXd3VJbGZ0X2ZsSVBHekNiNUZVYkFwcA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOam0zZTF4RTRhS3JLQWNKSi1iaDQ1N1BkdGgzUnQ0bXRteDBXUVhuTGQwZkNwRllpUVpUajhMZzl4UEdFb2pSYkVJRVpmSzd4T0MtUDgzUWJjZmQxWk1RalB3LVlTcDJqdTJLRC04Wlk4Um1KOUVIQWtkeHFZUEdXMl8wbVc3aXVSczRMUHJwMFlPR2VxajdFajJ5ZTVrUG9CNWh0T1IyWGRZblBsTGRUZzNXd3VJbGZ0X2ZsSVBHekNiNUZVYkFwcA?oc=5"" target=""_blank"">Secretaria leva tecnologia imersiva, realidade virtual e inteligência artificial à Brazil Energy Conference</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,2025-06-05 07:00:00
Game sobre energia renovável desenvolvido na SIA é disponibilizado ao público - pi.gov.br,https://news.google.com/rss/articles/CBMiogFBVV95cUxOLXBhWnFUUlhjSVlBZTVTSVZhbWx0bFFPdFduUWk3Nm9yd0lHeUxwZUQ2bmRxd2xHOWpIUHFUaThYa0xYdTZSX3NnZGwzWkV0djZPdDZ5VkViWUJDMTRCV3prNm9EUnE4RFA3Z2FPamJoLXNPT3FLOVBfSklMTXhiT1h4c29IVXVRTnFpeWZMSS1mM1I4dGVkZ0g5NzlpQmEzeHc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOLXBhWnFUUlhjSVlBZTVTSVZhbWx0bFFPdFduUWk3Nm9yd0lHeUxwZUQ2bmRxd2xHOWpIUHFUaThYa0xYdTZSX3NnZGwzWkV0djZPdDZ5VkViWUJDMTRCV3prNm9EUnE4RFA3Z2FPamJoLXNPT3FLOVBfSklMTXhiT1h4c29IVXVRTnFpeWZMSS1mM1I4dGVkZ0g5NzlpQmEzeHc?oc=5"" target=""_blank"">Game sobre energia renovável desenvolvido na SIA é disponibilizado ao público</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,2025-06-09 07:00:00
Inscrições para 115 vagas em cursos superiores gratuitos de inteligência artificial estão abertas no Piauí - G1,https://news.google.com/rss/articles/CBMi8wFBVV95cUxPWGc4bDdEaTFxdGsxcEdraXJjVlFqQ21OUDRfNWRlYzZqb1o1RDhJZFpudE5FVEs0VnhDaGE4QkNuV1poWnFPX1pIY2ItVFJQbF9KY0pRWXBUcHVVdHZUNXZ6ZEo5NVVTX2pfZ3llTlctLTh2MjBsWEtIZVBrTmw5c3p5YzlHcXBUcTNwRTI3dzdRZHZ1VW02OVRwMHkwaHdrVFUzZjB3OXY4Z0dPMmNDd0pUZ0Q4WVc4RDVFWVRoc2ZvOGM2bnk1QlplWS1yWFUtQWhtaEVQV0pnZTl5VndldnFwUUJYS2x2N0x3Y3g3WlJVbE3SAYICQVVfeXFMUDlTX0VzRkNZSEZrNmwxbmY1SDF3UFRRbXYxaTZEZkhvYVJUa0dDRG4xTDlBTk9rNTByUTlHZEtCRktaRnJmZjc2TEliQW9QY1Z1cGk0aG9NRm1ZVGNZOE03OTNXcUNfYnFqLVA3d3NFaGRkTmxTT29Ba3BxcDdVUmxrdDFKbUNFQmNwUThQRjIyTEdwajhvT1N4T3U2ZDZpSUdlbTBqSzN0ODJxdEVzZEhLbnljZWhDOUJJNm8xbzd3VjJZVzQ5VTZXXzc4d2hYUml5WFViVmEtOUlCQ2lYcEMzYTgzMnVJa1F6VWNORXB6dWxFTlFENHdEU0lDeTlaV3pB?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxPWGc4bDdEaTFxdGsxcEdraXJjVlFqQ21OUDRfNWRlYzZqb1o1RDhJZFpudE5FVEs0VnhDaGE4QkNuV1poWnFPX1pIY2ItVFJQbF9KY0pRWXBUcHVVdHZUNXZ6ZEo5NVVTX2pfZ3llTlctLTh2MjBsWEtIZVBrTmw5c3p5YzlHcXBUcTNwRTI3dzdRZHZ1VW02OVRwMHkwaHdrVFUzZjB3OXY4Z0dPMmNDd0pUZ0Q4WVc4RDVFWVRoc2ZvOGM2bnk1QlplWS1yWFUtQWhtaEVQV0pnZTl5VndldnFwUUJYS2x2N0x3Y3g3WlJVbE3SAYICQVVfeXFMUDlTX0VzRkNZSEZrNmwxbmY1SDF3UFRRbXYxaTZEZkhvYVJUa0dDRG4xTDlBTk9rNTByUTlHZEtCRktaRnJmZjc2TEliQW9QY1Z1cGk0aG9NRm1ZVGNZOE03OTNXcUNfYnFqLVA3d3NFaGRkTmxTT29Ba3BxcDdVUmxrdDFKbUNFQmNwUThQRjIyTEdwajhvT1N4T3U2ZDZpSUdlbTBqSzN0ODJxdEVzZEhLbnljZWhDOUJJNm8xbzd3VjJZVzQ5VTZXXzc4d2hYUml5WFViVmEtOUlCQ2lYcEMzYTgzMnVJa1F6VWNORXB6dWxFTlFENHdEU0lDeTlaV3pB?oc=5"" target=""_blank"">Inscrições para 115 vagas em cursos superiores gratuitos de inteligência artificial estão abertas no Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">G1</font>",Inteligência Artificial Piauí,2025-07-17 07:00:00
Inteligência Artificial (IA) na educação pública do Piauí - Fundação Telefônica Vivo,https://news.google.com/rss/articles/CBMijwFBVV95cUxPN0NHeEJOREVkTTJCUFNTbEZCU0lTRU5DZkxGaXNkWXRTWjhBVDZrV09TR09NSkZ5NWVRNko1UTNMazBBVlQ3bnp6Y0ktZnUxc1N5SWhjbVJ0WFRpbnctU0lHZDQwRkRoalB5RGlpc2xUZ1RrOVY1R0FNV2ZQZ0haVXZ6SkJvMlJ4TGRfOEtRYw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxPN0NHeEJOREVkTTJCUFNTbEZCU0lTRU5DZkxGaXNkWXRTWjhBVDZrV09TR09NSkZ5NWVRNko1UTNMazBBVlQ3bnp6Y0ktZnUxc1N5SWhjbVJ0WFRpbnctU0lHZDQwRkRoalB5RGlpc2xUZ1RrOVY1R0FNV2ZQZ0haVXZ6SkJvMlJ4TGRfOEtRYw?oc=5"" target=""_blank"">Inteligência Artificial (IA) na educação pública do Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fundação Telefônica Vivo</font>",Inteligência Artificial Piauí,2025-05-15 07:00:00
Pactos pelo Piauí: Governo aposta em IA para modernizar prefeituras - pi.gov.br,https://news.google.com/rss/articles/CBMikwFBVV95cUxNMWJoOTBHWUFxRWQ5dFN1eWhCcnV6R2E3YlBrLXExSS1MR1lUdlE1SzhfRG93REpXZE9tRHBtenFjMkJPeGpTNE5icDBuU2NxblZRZHFINEoya3Z2dE5NXzRvTW5GcF95eHIyQ1hFQ0t0d05oc2ZpNTR2YllndHpuQmVUWC1OZ1VyaTNNYkwwSDBZd0U?oc=5,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxNMWJoOTBHWUFxRWQ5dFN1eWhCcnV6R2E3YlBrLXExSS1MR1lUdlE1SzhfRG93REpXZE9tRHBtenFjMkJPeGpTNE5icDBuU2NxblZRZHFINEoya3Z2dE5NXzRvTW5GcF95eHIyQ1hFQ0t0d05oc2ZpNTR2YllndHpuQmVUWC1OZ1VyaTNNYkwwSDBZd0U?oc=5"" target=""_blank"">Pactos pelo Piauí: Governo aposta em IA para modernizar prefeituras</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,2025-03-24 07:00:00
Governo divulga resultado final de chamada pública do Conexão Ciência Piauí - pi.gov.br,https://news.google.com/rss/articles/CBMiogFBVV95cUxPeXozUHRYOG9rc3pnTGs3UWNraGtjVy1ISG0teFhsMVBkdVFtSzNxYnpBNkZyaTl6MUJxLTJIN0tXak9pOFZnS3VRZUVvZEtnME8xUW1ybFNXS3pWMHFiOGJxdlFMUE9nRHY4OUYzLUExV0RBUmRyV2ZWXzhkNGtkdXJyeDhxNEZoVVhIWDBMay16LUFqOGExZXpibEJlUGdTT3c?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPeXozUHRYOG9rc3pnTGs3UWNraGtjVy1ISG0teFhsMVBkdVFtSzNxYnpBNkZyaTl6MUJxLTJIN0tXak9pOFZnS3VRZUVvZEtnME8xUW1ybFNXS3pWMHFiOGJxdlFMUE9nRHY4OUYzLUExV0RBUmRyV2ZWXzhkNGtkdXJyeDhxNEZoVVhIWDBMay16LUFqOGExZXpibEJlUGdTT3c?oc=5"" target=""_blank"">Governo divulga resultado final de chamada pública do Conexão Ciência Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,2025-04-29 07:00:00
MCTI e governo do Piauí firmam parceria para avançar em projetos de IA - Agência Gov,https://news.google.com/rss/articles/CBMimgFBVV95cUxOSERYZkxLV3JZcWdPWEpta1phVXJvbXBMYkg2ZW8tcmNsRlhpYUJ3cnhrX05sbk82Q0xoYzRDNXlWTWx1SWd5TWg5SGVSdjdIaXY4U3BHMWpxVDlUMHVSZWctZFc0Q3ZIeDRocE9sbzhKY01GQWlIY0J3NHhscTBqT2J0RDJwVV9tN1FGZnRVZF9qVWFrMzJ0UFZR?oc=5,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxOSERYZkxLV3JZcWdPWEpta1phVXJvbXBMYkg2ZW8tcmNsRlhpYUJ3cnhrX05sbk82Q0xoYzRDNXlWTWx1SWd5TWg5SGVSdjdIaXY4U3BHMWpxVDlUMHVSZWctZFc0Q3ZIeDRocE9sbzhKY01GQWlIY0J3NHhscTBqT2J0RDJwVV9tN1FGZnRVZF9qVWFrMzJ0UFZR?oc=5"" target=""_blank"">MCTI e governo do Piauí firmam parceria para avançar em projetos de IA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agência Gov</font>",Inteligência Artificial Piauí,2025-05-21 07:00:00
"Feito no Piauí, projeto de IA com base de dados em português é apresentado ao Governo - Agência Gov",https://news.google.com/rss/articles/CBMitgFBVV95cUxNSTFXQy1BR1ZtM1ZPQi1rU19rekhrUDRRNEZoSEVROEgzMDhSMXdCMklsd25MNFQ2TkxJb3pNRmN5NlZrb0ZEU09zUDJjRGdWVS1UVGMxZUQyNWFLcktFMlBpVGYtai1mUTBSTnZVNXZCUU1oMENjemhnOGVIaERVTFVTZEx3YXNUQ2Q3VWFRQWFxQ2h0VE1PeDhER243ejVkLUU0MTJTbmlXSXFRc2ZoSXBzTFJxZw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNSTFXQy1BR1ZtM1ZPQi1rU19rekhrUDRRNEZoSEVROEgzMDhSMXdCMklsd25MNFQ2TkxJb3pNRmN5NlZrb0ZEU09zUDJjRGdWVS1UVGMxZUQyNWFLcktFMlBpVGYtai1mUTBSTnZVNXZCUU1oMENjemhnOGVIaERVTFVTZEx3YXNUQ2Q3VWFRQWFxQ2h0VE1PeDhER243ejVkLUU0MTJTbmlXSXFRc2ZoSXBzTFJxZw?oc=5"" target=""_blank"">Feito no Piauí, projeto de IA com base de dados em português é apresentado ao Governo</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agência Gov</font>",Inteligência Artificial Piauí,2025-02-06 08:00:00
